20200901_12:27:-37.887,-0.016525,-0.462633,0.865124,-0.010650,-0.445420,1.040658,-0.009006,-0.443397,1.181717,-0.018691,-0.442801,1.396253,-0.049752,-0.436244,1.359608,-0.179038,-0.387209,1.330006,-0.293364,-0.417219,1.083531,-0.272318,-0.335677,0.870120,-0.244517,-0.344699,0.779465,-0.241272,-0.414130,0.698268,-0.194954,-0.364912,0.757952,0.014988,-0.451551,1.361981,0.138442,-0.492014,1.368652,0.362465,-0.467526,1.532326,0.371815,-0.355979,1.735911,0.375125,-0.347012,1.838023,0.361825,-0.318370,1.938225,0.359224,-0.313477,1.845384,-0.103803,-0.439889,0.865815,-0.090527,-0.459625,0.470528,-0.077561,-0.508231,0.095431,-0.081109,-0.379516,-0.037836,0.062177,-0.483141,0.864500,0.115198,-0.417978,0.477948,0.095197,-0.533730,0.113999,0.122010,-0.462404,-0.038522,-0.019237,-0.429672,1.475980,0.013415,-0.274199,1.470796,-0.010541,-0.293436,1.516855,-0.085989,-0.389717,1.544474,0.039385,-0.301094,1.505743,0.073100,-0.424806,1.524598,
20200901_12:27:-37.931,-0.015514,-0.464998,0.866527,-0.008750,-0.445855,1.042101,-0.006252,-0.441934,1.183323,-0.016530,-0.441455,1.398160,-0.047604,-0.435190,1.361376,-0.177234,-0.387733,1.329747,-0.289224,-0.426232,1.082917,-0.274769,-0.351346,0.866168,-0.250852,-0.365827,0.774962,-0.251121,-0.437200,0.695180,-0.205830,-0.374881,0.750705,0.017376,-0.449883,1.363925,0.141237,-0.489241,1.373078,0.352944,-0.475582,1.554201,0.343062,-0.381146,1.766631,0.338133,-0.386955,1.869062,0.318015,-0.378832,1.972022,0.317600,-0.350997,1.875533,-0.103010,-0.442556,0.867452,-0.089711,-0.463514,0.471623,-0.076481,-0.513129,0.096084,-0.079311,-0.381161,-0.034382,0.063384,-0.485235,0.865694,0.115852,-0.420996,0.478295,0.095715,-0.538972,0.114453,0.122684,-0.466247,-0.037670,-0.017420,-0.428320,1.478008,0.013600,-0.272288,1.472170,-0.010275,-0.291606,1.518340,-0.084841,-0.388722,1.546292,0.039830,-0.298781,1.507344,0.074902,-0.422221,1.526859,
20200901_12:27:-37.975,-0.012841,-0.462522,0.866624,-0.005813,-0.443556,1.042403,-0.003313,-0.440872,1.183809,-0.014531,-0.441788,1.398835,-0.045562,-0.435717,1.361912,-0.175355,-0.389012,1.329151,-0.285306,-0.432768,1.081945,-0.276195,-0.361577,0.863399,-0.255893,-0.380705,0.772062,-0.256959,-0.458583,0.698452,-0.202399,-0.379425,0.751734,0.019670,-0.449570,1.364664,0.144037,-0.487405,1.375297,0.346188,-0.482137,1.567888,0.321396,-0.405867,1.786589,0.314507,-0.422575,1.887817,0.288949,-0.425084,1.989975,0.283713,-0.386182,1.896896,-0.100550,-0.440527,0.867757,-0.087347,-0.461623,0.471494,-0.073597,-0.511146,0.095539,-0.076733,-0.377835,-0.033842,0.066250,-0.482356,0.865602,0.118008,-0.416823,0.477876,0.099181,-0.535400,0.113714,0.126315,-0.462908,-0.038702,-0.015940,-0.429120,1.478842,0.019773,-0.273915,1.472991,-0.005253,-0.292410,1.518961,-0.083072,-0.387313,1.546264,0.044805,-0.301098,1.508592,0.076017,-0.425598,1.528867,
20200901_12:27:-38.019,-0.009379,-0.461074,0.866273,-0.001411,-0.442352,1.042259,0.001614,-0.440412,1.183843,-0.009815,-0.442905,1.399113,-0.040831,-0.436446,1.362163,-0.170422,-0.389137,1.328719,-0.280229,-0.437951,1.082019,-0.275246,-0.371623,0.861518,-0.259365,-0.389978,0.769030,-0.258932,-0.472020,0.699877,-0.205915,-0.377684,0.747264,0.024433,-0.450554,1.364871,0.148701,-0.489027,1.376335,0.343404,-0.493945,1.576944,0.306455,-0.427492,1.797433,0.296044,-0.450044,1.897348,0.269454,-0.461500,1.998763,0.259233,-0.417885,1.906796,-0.097039,-0.438456,0.867836,-0.085469,-0.459808,0.471041,-0.073043,-0.509865,0.094636,-0.075039,-0.375333,-0.033833,0.069668,-0.481470,0.864863,0.119845,-0.415398,0.476518,0.100314,-0.534562,0.112084,0.127528,-0.460663,-0.039880,-0.011256,-0.430817,1.479310,0.022033,-0.274827,1.474811,-0.002915,-0.294101,1.520585,-0.079413,-0.390566,1.546849,0.047380,-0.301917,1.510351,0.080537,-0.426211,1.529819,
20200901_12:27:-38.019,-0.008019,-0.460502,0.866019,0.000284,-0.441998,1.042212,0.003425,-0.440599,1.183959,-0.008508,-0.444213,1.399427,-0.039464,-0.437498,1.362401,-0.168920,-0.389818,1.328290,-0.278101,-0.442053,1.081671,-0.275379,-0.379062,0.859886,-0.262457,-0.397421,0.766830,-0.260312,-0.482160,0.700849,-0.210061,-0.377890,0.744117,0.025842,-0.451750,1.365185,0.150073,-0.490604,1.377400,0.339335,-0.502510,1.583290,0.293844,-0.442640,1.804343,0.281072,-0.469069,1.903146,0.253964,-0.486196,2.003745,0.240377,-0.440032,1.912194,-0.095682,-0.437505,0.867735,-0.084533,-0.458882,0.470484,-0.072338,-0.509160,0.093671,-0.073405,-0.373739,-0.034175,0.071031,-0.481240,0.864472,0.120769,-0.414603,0.475712,0.101440,-0.534023,0.110898,0.128939,-0.458984,-0.040671,-0.010111,-0.432533,1.479774,0.021581,-0.276002,1.476317,-0.003382,-0.295828,1.521923,-0.079049,-0.393356,1.547331,0.047092,-0.303062,1.511846,0.081519,-0.427249,1.530754,
20200901_12:27:-38.067,-0.008747,-0.458966,0.865973,-0.000200,-0.441614,1.042447,0.003149,-0.440862,1.184332,-0.009474,-0.445309,1.399957,-0.040328,-0.438357,1.362826,-0.169262,-0.389305,1.328110,-0.276977,-0.442880,1.080836,-0.277025,-0.382208,0.858155,-0.267162,-0.402236,0.764972,-0.262022,-0.487543,0.699720,-0.214309,-0.376082,0.741686,0.024996,-0.452807,1.365757,0.149174,-0.492048,1.378620,0.335911,-0.503027,1.587221,0.282553,-0.445979,1.807501,0.268086,-0.478283,1.904411,0.242695,-0.502099,2.004202,0.223962,-0.450086,1.914801,-0.096394,-0.435577,0.867918,-0.085192,-0.455332,0.470196,-0.072990,-0.504756,0.092896,-0.072994,-0.367659,-0.033425,0.070288,-0.480056,0.864220,0.120453,-0.412449,0.475285,0.100394,-0.531576,0.110019,0.129356,-0.455337,-0.040867,-0.011298,-0.433935,1.480422,0.017544,-0.276682,1.477622,-0.007090,-0.297171,1.523181,-0.081035,-0.396273,1.548179,0.043562,-0.303441,1.513085,0.080292,-0.427173,1.531512,
20200901_12:27:-38.077,-0.008358,-0.458502,0.866538,0.000858,-0.441211,1.043072,0.004580,-0.441159,1.185020,-0.008518,-0.445475,1.400726,-0.039357,-0.438823,1.363497,-0.168276,-0.389417,1.328939,-0.275523,-0.442130,1.081125,-0.277681,-0.378982,0.859025,-0.266236,-0.405682,0.767665,-0.269279,-0.486718,0.696977,-0.214326,-0.388831,0.743796,0.026112,-0.452722,1.366599,0.150610,-0.490769,1.380568,0.335000,-0.497704,1.591603,0.277777,-0.441306,1.811203,0.261970,-0.480127,1.905532,0.247319,-0.515115,2.004236,0.217722,-0.450937,1.915856,-0.096052,-0.435148,0.868828,-0.085702,-0.455099,0.470895,-0.073853,-0.505126,0.093472,-0.073579,-0.369917,-0.035000,0.070719,-0.479562,0.864472,0.120131,-0.412869,0.475081,0.100258,-0.531057,0.109299,0.128878,-0.455096,-0.041888,-0.010628,-0.434021,1.481214,0.012460,-0.275782,1.476619,-0.009701,-0.296880,1.523193,-0.079094,-0.398451,1.551432,0.040751,-0.301406,1.511206,0.082570,-0.423706,1.528788,
20200901_12:27:-38.119,-0.008464,-0.458134,0.865669,0.000991,-0.442856,1.042395,0.005045,-0.443552,1.184347,-0.009376,-0.448972,1.399966,-0.040008,-0.442234,1.362576,-0.168731,-0.391849,1.328644,-0.275162,-0.440989,1.079715,-0.277568,-0.373548,0.858859,-0.263315,-0.401080,0.768132,-0.262162,-0.482858,0.698229,-0.212228,-0.390408,0.743338,0.025491,-0.455942,1.366016,0.150013,-0.493507,1.381161,0.334175,-0.492609,1.592545,0.280655,-0.431079,1.811725,0.263987,-0.473374,1.904409,0.256520,-0.514943,2.001362,0.228871,-0.443183,1.918482,-0.096011,-0.434234,0.868287,-0.085697,-0.451041,0.470166,-0.073836,-0.497896,0.092297,-0.073150,-0.365087,-0.038681,0.070481,-0.479686,0.863309,0.120220,-0.410920,0.474278,0.101272,-0.526730,0.107646,0.127121,-0.452599,-0.044963,-0.012021,-0.437921,1.480503,0.008835,-0.279307,1.482814,-0.013258,-0.302692,1.528322,-0.081344,-0.406354,1.551802,0.037318,-0.305993,1.516434,0.080791,-0.428349,1.529001,
20200901_12:27:-38.163,-0.010031,-0.456674,0.864269,-0.001274,-0.441472,1.041078,0.002204,-0.442500,1.183076,-0.011739,-0.447425,1.398788,-0.042506,-0.441030,1.361433,-0.171538,-0.390969,1.328066,-0.276082,-0.438218,1.077905,-0.274600,-0.364456,0.859015,-0.258908,-0.396473,0.769991,-0.252355,-0.478469,0.700606,-0.209569,-0.388783,0.743508,0.023120,-0.454221,1.364778,0.147972,-0.490760,1.379969,0.333518,-0.477317,1.589796,0.292103,-0.406963,1.809000,0.287529,-0.453979,1.900819,0.274510,-0.492621,1.998420,0.250908,-0.422407,1.922114,-0.097704,-0.433129,0.866587,-0.085794,-0.450863,0.468460,-0.072367,-0.497458,0.090524,-0.071961,-0.365420,-0.041293,0.069028,-0.477905,0.862179,0.120365,-0.411181,0.472908,0.102620,-0.526367,0.105928,0.131459,-0.451585,-0.045869,-0.014308,-0.436165,1.479317,0.002968,-0.277089,1.481952,-0.019745,-0.300933,1.526929,-0.086104,-0.406087,1.548824,0.031186,-0.303119,1.516320,0.077039,-0.424499,1.530135,
20200901_12:27:-38.207,-0.012125,-0.453801,0.863740,-0.005136,-0.439432,1.040701,-0.003223,-0.441510,1.182719,-0.018640,-0.446729,1.398329,-0.049139,-0.440207,1.360775,-0.177408,-0.387829,1.328015,-0.278005,-0.432323,1.075733,-0.270787,-0.353482,0.858731,-0.253217,-0.384231,0.769608,-0.249800,-0.466014,0.699745,-0.203315,-0.383917,0.744974,0.016433,-0.453553,1.364545,0.141231,-0.490272,1.379775,0.333191,-0.463343,1.582419,0.300757,-0.384017,1.800073,0.308128,-0.417491,1.897477,0.303010,-0.443425,1.999899,0.276106,-0.389065,1.914527,-0.099751,-0.430010,0.865268,-0.084865,-0.447987,0.467244,-0.068589,-0.494627,0.089418,-0.067974,-0.363609,-0.043416,0.066892,-0.475254,0.862361,0.121469,-0.409724,0.473320,0.106208,-0.523742,0.105855,0.135827,-0.448743,-0.045689,-0.021729,-0.435584,1.478857,-0.003630,-0.276584,1.480541,-0.026549,-0.300031,1.525623,-0.093495,-0.404703,1.548045,0.024390,-0.302548,1.515121,0.069587,-0.424079,1.529772,
