20201124_07:03:-45.380,-0.303131,-0.359141,0.838600,-0.297992,-0.349403,1.014221,-0.294744,-0.347186,1.154841,-0.301354,-0.356328,1.368679,-0.333273,-0.350812,1.332791,-0.457530,-0.328565,1.269979,-0.542630,-0.375978,1.015421,-0.550563,-0.302569,0.798901,-0.555130,-0.289445,0.704947,-0.545012,-0.289934,0.598854,-0.497533,-0.275610,0.668133,-0.267669,-0.360850,1.333801,-0.146150,-0.375708,1.290935,-0.092356,-0.408635,1.020473,-0.073894,-0.343613,0.798894,-0.103633,-0.345408,0.701068,-0.139017,-0.376034,0.607345,-0.121913,-0.313139,0.697188,-0.391981,-0.345334,0.840435,-0.418890,-0.370218,0.447281,-0.446153,-0.441242,0.077667,-0.436213,-0.272978,0.001967,-0.223012,-0.371590,0.836946,-0.240842,-0.372459,0.442917,-0.282156,-0.460932,0.074298,-0.247058,-0.312380,-0.000545,-0.301818,-0.346660,1.448665,-0.246790,-0.202421,1.484528,-0.280109,-0.226522,1.521362,-0.371806,-0.311360,1.516024,-0.230838,-0.240265,1.514817,-0.218777,-0.368724,1.507554,
20201124_07:03:-45.393,-0.303615,-0.360221,0.838656,-0.298387,-0.350500,1.014217,-0.295022,-0.347905,1.154782,-0.301600,-0.356267,1.368583,-0.333493,-0.350714,1.332699,-0.457559,-0.327663,1.269903,-0.542746,-0.375739,1.015594,-0.549835,-0.301250,0.799493,-0.554336,-0.286587,0.705796,-0.542957,-0.287319,0.599866,-0.495642,-0.270002,0.669950,-0.267962,-0.361083,1.333721,-0.146722,-0.376696,1.290466,-0.092979,-0.409127,1.020028,-0.074141,-0.344505,0.798442,-0.106401,-0.341997,0.701470,-0.144092,-0.368471,0.607419,-0.122171,-0.311895,0.696390,-0.392396,-0.346172,0.840522,-0.418718,-0.370180,0.447404,-0.445356,-0.439212,0.077493,-0.434365,-0.270985,0.002002,-0.223557,-0.372890,0.836974,-0.240521,-0.371312,0.443038,-0.281709,-0.460073,0.074603,-0.246378,-0.311928,-0.000810,-0.301986,-0.346324,1.448509,-0.245109,-0.202410,1.482520,-0.278461,-0.225737,1.519794,-0.371123,-0.309538,1.515900,-0.229408,-0.240107,1.513095,-0.218865,-0.368723,1.507099,
20201124_07:03:-45.436,-0.303728,-0.360441,0.838677,-0.298473,-0.350748,1.014186,-0.295051,-0.347916,1.154704,-0.301629,-0.355786,1.368459,-0.333501,-0.350224,1.332577,-0.457432,-0.326711,1.269779,-0.542592,-0.375253,1.015636,-0.549126,-0.300036,0.799842,-0.553522,-0.284349,0.706334,-0.541312,-0.285314,0.600531,-0.493951,-0.265991,0.671335,-0.268018,-0.360772,1.333615,-0.146959,-0.376807,1.290122,-0.093195,-0.408840,1.019725,-0.074117,-0.344455,0.798162,-0.108092,-0.339143,0.701923,-0.147372,-0.362879,0.607827,-0.122164,-0.310417,0.695952,-0.392465,-0.346287,0.840552,-0.418325,-0.369680,0.447484,-0.444451,-0.437352,0.077398,-0.432859,-0.269150,0.002076,-0.223710,-0.373205,0.836985,-0.240043,-0.369962,0.443150,-0.281036,-0.458892,0.074850,-0.245634,-0.311002,-0.000915,-0.301979,-0.345668,1.448340,-0.243977,-0.201974,1.481138,-0.277332,-0.224806,1.518690,-0.370566,-0.307955,1.515733,-0.228423,-0.239561,1.511896,-0.218807,-0.368247,1.506732,
20201124_07:03:-45.480,-0.303683,-0.360306,0.838678,-0.298437,-0.350659,1.014143,-0.294998,-0.347692,1.154620,-0.301602,-0.355271,1.368328,-0.333454,-0.349709,1.332446,-0.457285,-0.325927,1.269637,-0.542363,-0.374768,1.015602,-0.548520,-0.299039,0.800040,-0.552815,-0.282663,0.706672,-0.540050,-0.283799,0.600964,-0.492599,-0.263145,0.672335,-0.268005,-0.360351,1.333502,-0.147064,-0.376613,1.289867,-0.093239,-0.408314,1.019519,-0.073996,-0.344048,0.798002,-0.109120,-0.336891,0.702325,-0.149471,-0.358813,0.608273,-0.122054,-0.309052,0.695722,-0.392390,-0.346117,0.840550,-0.417877,-0.369044,0.447536,-0.443585,-0.435752,0.077349,-0.431647,-0.267563,0.002174,-0.223691,-0.373101,0.836990,-0.239551,-0.368689,0.443252,-0.280325,-0.457680,0.075049,-0.244924,-0.309943,-0.000915,-0.301942,-0.345051,1.448173,-0.243258,-0.201505,1.480193,-0.276605,-0.224025,1.517917,-0.370177,-0.306762,1.515558,-0.227790,-0.239015,1.511066,-0.218742,-0.367728,1.506438,
20201124_07:03:-45.524,-0.303601,-0.360102,0.838673,-0.298426,-0.350517,1.014101,-0.295021,-0.347483,1.154543,-0.301693,-0.354922,1.368202,-0.333528,-0.349398,1.332314,-0.457299,-0.325596,1.269472,-0.542171,-0.374697,1.015488,-0.548118,-0.298597,0.800110,-0.552332,-0.281752,0.706845,-0.539173,-0.282978,0.601213,-0.491679,-0.261395,0.673009,-0.268091,-0.360011,1.333399,-0.147202,-0.376247,1.289705,-0.093217,-0.407594,1.019417,-0.073889,-0.343337,0.797963,-0.109769,-0.334994,0.702690,-0.150790,-0.355748,0.608691,-0.121973,-0.307747,0.695650,-0.392302,-0.346013,0.840520,-0.417395,-0.368579,0.447555,-0.442624,-0.434597,0.077305,-0.430667,-0.266394,0.002272,-0.223615,-0.372806,0.837008,-0.239052,-0.367554,0.443359,-0.279448,-0.456558,0.075213,-0.244231,-0.308869,-0.000837,-0.302065,-0.344652,1.448021,-0.243139,-0.201143,1.479568,-0.276459,-0.223507,1.517389,-0.370132,-0.306092,1.515382,-0.227687,-0.238584,1.510512,-0.218837,-0.367291,1.506215,
20201124_07:03:-45.568,-0.306293,-0.365964,0.838053,-0.300920,-0.353006,1.013199,-0.297173,-0.346473,1.153466,-0.301996,-0.350663,1.367191,-0.334203,-0.346300,1.331498,-0.459493,-0.325009,1.270910,-0.544447,-0.373999,1.017030,-0.553812,-0.300614,0.800914,-0.560571,-0.280847,0.708408,-0.540662,-0.293321,0.604614,-0.491942,-0.277528,0.672126,-0.268595,-0.355672,1.332207,-0.147349,-0.369466,1.288792,-0.091696,-0.407230,1.019760,-0.074755,-0.343733,0.797973,-0.111973,-0.335412,0.703250,-0.151187,-0.356614,0.608621,-0.125021,-0.308446,0.695366,-0.395154,-0.353113,0.839828,-0.419613,-0.377451,0.447062,-0.443854,-0.446486,0.077426,-0.433754,-0.279370,-0.000112,-0.226164,-0.377551,0.836452,-0.241443,-0.375675,0.442899,-0.281049,-0.467150,0.075405,-0.247782,-0.320217,-0.002829,-0.301923,-0.339148,1.446814,-0.248696,-0.192617,1.474039,-0.275672,-0.217592,1.515117,-0.363508,-0.306000,1.522700,-0.227275,-0.229383,1.502070,-0.210987,-0.357135,1.493993,
20201124_07:03:-45.568,-0.307296,-0.369466,0.838123,-0.301745,-0.355003,1.013122,-0.297765,-0.346794,1.153275,-0.301393,-0.349762,1.367016,-0.333827,-0.345907,1.331479,-0.459993,-0.325582,1.272439,-0.544995,-0.372933,1.018305,-0.555904,-0.299780,0.802215,-0.563617,-0.277093,0.710469,-0.541820,-0.296869,0.608215,-0.493489,-0.287299,0.672076,-0.268141,-0.354671,1.331885,-0.146734,-0.367039,1.288542,-0.090128,-0.408246,1.020254,-0.074562,-0.344917,0.798349,-0.113273,-0.337313,0.704181,-0.151740,-0.359358,0.609454,-0.127181,-0.310555,0.695852,-0.396228,-0.357209,0.839931,-0.420464,-0.381100,0.447176,-0.444272,-0.450532,0.077637,-0.435488,-0.283587,-0.000371,-0.227102,-0.380518,0.836493,-0.242354,-0.379088,0.442989,-0.281639,-0.469836,0.075333,-0.249410,-0.322527,-0.002578,-0.300996,-0.337778,1.446558,-0.248091,-0.193020,1.482406,-0.276500,-0.219748,1.521349,-0.364892,-0.307901,1.521872,-0.227757,-0.231185,1.509344,-0.211744,-0.358487,1.495764,
20201124_07:03:-45.612,-0.307558,-0.370685,0.838209,-0.301987,-0.355673,1.013139,-0.297939,-0.346707,1.153228,-0.300927,-0.349383,1.366957,-0.333476,-0.345707,1.331514,-0.460123,-0.325600,1.273479,-0.545098,-0.371038,1.019021,-0.556729,-0.297487,0.803133,-0.564637,-0.272655,0.711973,-0.542296,-0.297565,0.610980,-0.494845,-0.292170,0.672277,-0.267763,-0.354211,1.331739,-0.146260,-0.365783,1.288492,-0.088897,-0.408714,1.020670,-0.073966,-0.344985,0.798866,-0.113689,-0.337711,0.705107,-0.151742,-0.360069,0.610300,-0.128131,-0.311001,0.696546,-0.396508,-0.358637,0.840008,-0.420375,-0.381186,0.447199,-0.443786,-0.449896,0.077546,-0.435464,-0.282898,-0.000345,-0.227349,-0.381550,0.836586,-0.242287,-0.379395,0.443122,-0.281277,-0.468646,0.075116,-0.249365,-0.320969,-0.002182,-0.300343,-0.337285,1.446470,-0.247626,-0.194126,1.488414,-0.277020,-0.222014,1.525771,-0.365780,-0.309663,1.521302,-0.228076,-0.233286,1.514478,-0.212327,-0.360118,1.496919,
20201124_07:03:-45.625,-0.307476,-0.370781,0.838256,-0.301908,-0.355784,1.013169,-0.297834,-0.346618,1.153228,-0.300462,-0.349549,1.366935,-0.333071,-0.345865,1.331555,-0.459983,-0.325592,1.274200,-0.544947,-0.369136,1.019438,-0.556916,-0.294930,0.803819,-0.564759,-0.268588,0.713089,-0.542474,-0.297169,0.613072,-0.495946,-0.294663,0.672511,-0.267355,-0.354300,1.331660,-0.145793,-0.365408,1.288502,-0.087815,-0.408872,1.020930,-0.073115,-0.344311,0.799377,-0.113472,-0.337017,0.705903,-0.151258,-0.359299,0.610984,-0.128219,-0.310277,0.697238,-0.396415,-0.358728,0.840054,-0.419974,-0.379493,0.447171,-0.443145,-0.446804,0.077288,-0.434755,-0.279565,-0.000031,-0.227276,-0.381649,0.836634,-0.241879,-0.378185,0.443209,-0.280735,-0.465665,0.074807,-0.248667,-0.317702,-0.001837,-0.299757,-0.337545,1.446453,-0.246582,-0.195807,1.492389,-0.276610,-0.224355,1.528720,-0.365894,-0.311233,1.521127,-0.227616,-0.235704,1.517747,-0.212523,-0.362182,1.497385,
20201124_07:03:-45.668,-0.307318,-0.370460,0.838281,-0.301764,-0.355649,1.013193,-0.297685,-0.346492,1.153239,-0.300104,-0.349801,1.366922,-0.332744,-0.346052,1.331584,-0.459804,-0.325513,1.274686,-0.544756,-0.367476,1.019685,-0.556862,-0.292616,0.804323,-0.564564,-0.265196,0.713911,-0.542516,-0.296205,0.614578,-0.496735,-0.295641,0.672746,-0.267036,-0.354492,1.331610,-0.145440,-0.365343,1.288519,-0.087050,-0.408943,1.021086,-0.072424,-0.343623,0.799775,-0.113199,-0.336229,0.706502,-0.150828,-0.358355,0.611495,-0.128135,-0.309441,0.697792,-0.396238,-0.358338,0.840078,-0.419547,-0.377507,0.447139,-0.442557,-0.443502,0.077045,-0.433981,-0.276039,0.000277,-0.227134,-0.381391,0.836661,-0.241450,-0.376657,0.443277,-0.280223,-0.462562,0.074534,-0.247926,-0.314365,-0.001521,-0.299321,-0.337938,1.446452,-0.245780,-0.197290,1.495176,-0.276253,-0.226274,1.530776,-0.365922,-0.312519,1.521009,-0.227237,-0.237703,1.520014,-0.212648,-0.363891,1.497667,
